date,crowd_percent,crowd_label,temperature_forecast,temperature_actual,intensity_forecast,intensity_actual,wind_forecast,wind_actual,events
2025-01-16,9%,Empty,4.9 °C,2.0 °C,0.0 mm/h,0.0 mm/h,1.8 m/s,2.8 m/s,🎄 Winter Efteling
2025-01-17,4%,Empty,1.1 °C,0.6 °C,0.0 mm/h,0.0 mm/h,0.6 m/s,1.2 m/s,🎄 Winter Efteling
2025-01-18,44%,Quiet,0.3 °C,-0.2 °C,0.0 mm/h,0.0 mm/h,1.9 m/s,2.6 m/s,🎄 Winter Efteling
2025-01-19,77%,Packed,0.3 °C,-1.0 °C,0.0 mm/h,0.0 mm/h,0.7 m/s,0.9 m/s,🎄 Winter Efteling
2025-01-20,14%,Empty,0.5 °C,-0.3 °C,0.0 mm/h,0.01 mm/h,2.0 m/s,2.2 m/s,🎄 Winter Efteling
2025-01-21,7%,Empty,1.0 °C,-0.8 °C,0.0 mm/h,0.0 mm/h,1.5 m/s,2.1 m/s,🎄 Winter Efteling
2025-01-22,21%,Empty,3.1 °C,3.7 °C,0.3 mm/h,0.29 mm/h,2.2 m/s,2.3 m/s,🎄 Winter Efteling
2025-01-23,4%,Empty,5.4 °C,5.7 °C,0.11 mm/h,0.0 mm/h,5.1 m/s,6.0 m/s,🎄 Winter Efteling
2025-01-24,8%,Empty,7.4 °C,8.2 °C,0.66 mm/h,0.61 mm/h,5.8 m/s,7.4 m/s,🎄 Winter Efteling
2025-01-25,79%,Packed,5.9 °C,5.9 °C,0.26 mm/h,0.04 mm/h,1.6 m/s,2.2 m/s,🎄 Winter Efteling
2025-01-26,88%,Packed,4.4 °C,3.3 °C,0.09 mm/h,0.04 mm/h,4.7 m/s,5.3 m/s,🎄 Winter Efteling
2025-01-27,22%,Empty,9.4 °C,10.5 °C,0.01 mm/h,0.05 mm/h,5.7 m/s,7.4 m/s,🎄 Winter Efteling
2025-01-28,16%,Empty,8.4 °C,8.8 °C,0.06 mm/h,0.13 mm/h,5.5 m/s,7.7 m/s,🎄 Winter Efteling
2025-01-29,20%,Empty,8.0 °C,8.1 °C,0.01 mm/h,0.0 mm/h,4.6 m/s,4.2 m/s,🎄 Winter Efteling
2025-01-30,24%,Empty,6.1 °C,5.6 °C,0.28 mm/h,0.26 mm/h,2.8 m/s,2.5 m/s,🎄 Winter Efteling
2025-01-31,44%,Quiet,5.1 °C,5.2 °C,0.0 mm/h,0.0 mm/h,2.3 m/s,2.9 m/s,🎄 Winter Efteling
2025-02-01,58%,Busy,3.0 °C,3.5 °C,0.0 mm/h,0.0 mm/h,1.8 m/s,2.5 m/s,🎄 Winter Efteling
2025-02-02,62%,Busy,0.8 °C,2.3 °C,0.0 mm/h,0.0 mm/h,1.0 m/s,1.3 m/s,🎄 Winter Efteling
2025-02-03,46%,Quiet,1.8 °C,4.3 °C,0.0 mm/h,0.0 mm/h,2.0 m/s,2.6 m/s,
2025-02-04,9%,Empty,5.5 °C,3.8 °C,0.0 mm/h,0.0 mm/h,3.0 m/s,3.9 m/s,
2025-02-05,9%,Empty,7.3 °C,5.5 °C,0.0 mm/h,0.0 mm/h,2.1 m/s,2.5 m/s,
2025-02-06,9%,Empty,5.8 °C,5.4 °C,0.0 mm/h,0.0 mm/h,3.1 m/s,3.6 m/s,
2025-02-07,11%,Empty,3.6 °C,4.1 °C,0.0 mm/h,0.01 mm/h,5.9 m/s,8.7 m/s,
2025-02-08,74%,Busy,6.9 °C,6.9 °C,0.0 mm/h,0.04 mm/h,2.5 m/s,3.3 m/s,
2025-02-09,79%,Packed,4.4 °C,3.5 °C,0.0 mm/h,0.0 mm/h,1.4 m/s,1.9 m/s,
2025-02-10,19%,Empty,2.2 °C,2.3 °C,0.09 mm/h,0.21 mm/h,4.9 m/s,6.5 m/s,
2025-02-11,7%,Empty,5.1 °C,3.3 °C,0.08 mm/h,0.51 mm/h,3.7 m/s,4.3 m/s,
2025-02-12,10%,Empty,5.2 °C,4.4 °C,0.03 mm/h,0.05 mm/h,1.2 m/s,1.3 m/s,
2025-02-13,0%,Empty,1.4 °C,0.2 °C,0.0 mm/h,0.0 mm/h,3.4 m/s,3.8 m/s,
2025-02-14,11%,Empty,1.2 °C,2.0 °C,0.0 mm/h,0.0 mm/h,1.8 m/s,2.4 m/s,
2025-02-15,22%,Empty,2.1 °C,2.4 °C,0.0 mm/h,0.0 mm/h,1.7 m/s,2.4 m/s,
2025-02-16,19%,Empty,1.8 °C,2.6 °C,0.0 mm/h,0.0 mm/h,3.9 m/s,6.1 m/s,
2025-02-17,20%,Empty,1.2 °C,1.3 °C,0.0 mm/h,0.0 mm/h,2.9 m/s,3.3 m/s,
2025-02-18,11%,Empty,1.2 °C,1.6 °C,0.0 mm/h,0.0 mm/h,4.1 m/s,5.4 m/s,
2025-02-19,20%,Empty,2.3 °C,3.2 °C,0.0 mm/h,0.0 mm/h,3.6 m/s,4.6 m/s,
2025-02-20,14%,Empty,9.6 °C,10.2 °C,0.17 mm/h,0.13 mm/h,4.5 m/s,5.0 m/s,
2025-02-21,52%,Busy,15.4 °C,16.0 °C,0.0 mm/h,0.01 mm/h,4.2 m/s,5.9 m/s,
2025-02-22,9%,Empty,11.5 °C,10.5 °C,0.16 mm/h,0.27 mm/h,4.4 m/s,4.5 m/s,
2025-02-23,51%,Busy,12.0 °C,12.1 °C,0.0 mm/h,0.0 mm/h,4.2 m/s,5.4 m/s,
2025-02-24,13%,Empty,10.0 °C,11.3 °C,0.58 mm/h,0.47 mm/h,4.7 m/s,6.4 m/s,
2025-02-25,15%,Empty,10.4 °C,10.7 °C,0.09 mm/h,0.03 mm/h,2.4 m/s,2.4 m/s,
2025-02-26,23%,Empty,8.8 °C,8.7 °C,0.0 mm/h,0.0 mm/h,3.7 m/s,4.7 m/s,
2025-02-27,10%,Empty,6.8 °C,6.4 °C,0.07 mm/h,0.12 mm/h,4.2 m/s,4.2 m/s,
2025-02-28,42%,Quiet,7.3 °C,6.8 °C,0.0 mm/h,0.03 mm/h,3.4 m/s,4.8 m/s,
2025-03-01,18%,Empty,6.7 °C,5.3 °C,0.0 mm/h,0.0 mm/h,2.2 m/s,3.7 m/s,
2025-03-02,39%,Quiet,5.4 °C,6.6 °C,0.0 mm/h,0.0 mm/h,1.2 m/s,2.1 m/s,
2025-03-03,79%,Packed,7.7 °C,8.4 °C,0.0 mm/h,0.0 mm/h,1.1 m/s,1.6 m/s,
2025-03-04,52%,Busy,8.8 °C,9.8 °C,0.0 mm/h,0.0 mm/h,1.2 m/s,1.1 m/s,
2025-03-05,62%,Busy,12.6 °C,13.2 °C,0.0 mm/h,0.0 mm/h,2.4 m/s,3.5 m/s,
2025-03-06,69%,Busy,14.7 °C,15.0 °C,0.0 mm/h,0.0 mm/h,3.5 m/s,4.0 m/s,
2025-03-07,75%,Packed,15.7 °C,15.4 °C,0.0 mm/h,0.0 mm/h,2.9 m/s,3.9 m/s,
2025-03-08,56%,Busy,16.4 °C,16.5 °C,0.0 mm/h,0.0 mm/h,2.9 m/s,3.7 m/s,
2025-03-09,34%,Quiet,15.9 °C,15.9 °C,0.0 mm/h,0.0 mm/h,2.5 m/s,3.3 m/s,
2025-03-10,45%,Quiet,14.8 °C,15.0 °C,0.0 mm/h,0.0 mm/h,2.4 m/s,3.1 m/s,
2025-03-11,0%,Empty,8.3 °C,7.3 °C,0.0 mm/h,0.01 mm/h,3.5 m/s,4.3 m/s,
2025-03-12,8%,Empty,7.1 °C,6.9 °C,0.1 mm/h,0.09 mm/h,2.7 m/s,3.8 m/s,
2025-03-13,8%,Empty,6.5 °C,6.3 °C,0.08 mm/h,0.16 mm/h,2.5 m/s,2.9 m/s,
2025-03-14,4%,Empty,6.2 °C,5.2 °C,0.0 mm/h,0.0 mm/h,3.2 m/s,3.4 m/s,
2025-03-15,68%,Busy,5.9 °C,6.0 °C,0.0 mm/h,0.0 mm/h,4.4 m/s,6.2 m/s,
2025-03-16,84%,Packed,7.3 °C,7.9 °C,0.0 mm/h,0.0 mm/h,3.7 m/s,5.0 m/s,
2025-03-17,20%,Empty,7.6 °C,8.9 °C,0.0 mm/h,0.0 mm/h,4.7 m/s,5.9 m/s,
2025-03-18,14%,Empty,8.2 °C,9.6 °C,0.0 mm/h,0.0 mm/h,4.8 m/s,6.8 m/s,
2025-03-19,36%,Quiet,14.0 °C,15.0 °C,0.0 mm/h,0.0 mm/h,2.3 m/s,3.0 m/s,
2025-03-20,22%,Empty,16.4 °C,17.3 °C,0.0 mm/h,0.0 mm/h,1.5 m/s,1.9 m/s,
2025-03-21,44%,Quiet,19.4 °C,19.7 °C,0.0 mm/h,0.0 mm/h,4.1 m/s,6.4 m/s,
2025-03-22,61%,Busy,16.9 °C,16.9 °C,0.0 mm/h,0.02 mm/h,3.5 m/s,3.7 m/s,
2025-03-23,61%,Busy,16.5 °C,15.6 °C,0.02 mm/h,0.0 mm/h,2.3 m/s,3.2 m/s,
2025-03-24,36%,Quiet,14.5 °C,14.3 °C,0.0 mm/h,0.0 mm/h,2.8 m/s,4.3 m/s,
2025-03-25,23%,Empty,12.3 °C,11.3 °C,0.0 mm/h,0.0 mm/h,3.6 m/s,4.4 m/s,
2025-03-26,38%,Quiet,11.4 °C,10.2 °C,0.0 mm/h,0.0 mm/h,2.4 m/s,3.7 m/s,
2025-03-27,31%,Quiet,13.0 °C,13.6 °C,0.0 mm/h,0.0 mm/h,0.7 m/s,1.9 m/s,
2025-03-28,30%,Quiet,12.6 °C,9.8 °C,0.0 mm/h,0.0 mm/h,3.5 m/s,3.5 m/s,
2025-03-29,85%,Packed,11.0 °C,10.7 °C,0.0 mm/h,0.0 mm/h,3.4 m/s,3.9 m/s,
2025-03-30,71%,Busy,11.2 °C,11.8 °C,0.0 mm/h,0.01 mm/h,6.4 m/s,7.7 m/s,
2025-03-31,95%,Packed,11.0 °C,11.3 °C,0.0 mm/h,0.0 mm/h,3.6 m/s,4.4 m/s,
2025-04-01,36%,Quiet,11.8 °C,11.6 °C,0.0 mm/h,0.0 mm/h,4.8 m/s,6.4 m/s,
2025-04-02,60%,Busy,14.3 °C,15.0 °C,0.0 mm/h,0.0 mm/h,5.5 m/s,7.6 m/s,
2025-04-03,61%,Busy,17.7 °C,17.8 °C,0.0 mm/h,0.0 mm/h,5.0 m/s,5.8 m/s,
2025-04-04,61%,Busy,19.4 °C,19.8 °C,0.0 mm/h,0.0 mm/h,3.8 m/s,4.2 m/s,
2025-04-05,47%,Quiet,14.9 °C,15.1 °C,0.0 mm/h,0.0 mm/h,5.0 m/s,6.1 m/s,
2025-04-06,54%,Busy,10.8 °C,11.3 °C,0.0 mm/h,0.0 mm/h,4.8 m/s,6.7 m/s,
2025-04-07,43%,Quiet,11.4 °C,11.8 °C,0.0 mm/h,0.0 mm/h,3.1 m/s,3.9 m/s,
2025-04-08,64%,Busy,13.8 °C,14.0 °C,0.0 mm/h,0.0 mm/h,2.0 m/s,2.6 m/s,
2025-04-09,58%,Busy,12.3 °C,11.2 °C,0.0 mm/h,0.0 mm/h,3.5 m/s,4.8 m/s,
2025-04-10,70%,Busy,12.2 °C,11.6 °C,0.0 mm/h,0.0 mm/h,3.0 m/s,3.5 m/s,
2025-04-11,57%,Busy,15.5 °C,15.4 °C,0.0 mm/h,0.0 mm/h,2.8 m/s,3.6 m/s,
2025-04-12,62%,Busy,20.6 °C,20.9 °C,0.0 mm/h,0.0 mm/h,3.8 m/s,5.5 m/s,
2025-04-13,35%,Quiet,16.3 °C,15.3 °C,0.02 mm/h,0.05 mm/h,4.7 m/s,4.6 m/s,
2025-04-14,85%,Packed,15.7 °C,15.8 °C,0.0 mm/h,0.0 mm/h,2.4 m/s,2.8 m/s,
2025-04-15,70%,Busy,17.6 °C,17.7 °C,0.14 mm/h,0.51 mm/h,3.5 m/s,4.0 m/s,
2025-04-16,67%,Busy,12.3 °C,11.6 °C,0.0 mm/h,0.03 mm/h,3.2 m/s,2.5 m/s,
2025-04-17,86%,Packed,12.0 °C,10.8 °C,0.01 mm/h,0.27 mm/h,1.4 m/s,2.1 m/s,
2025-04-18,59%,Busy,13.5 °C,13.2 °C,0.0 mm/h,0.0 mm/h,1.4 m/s,2.2 m/s,
2025-04-19,49%,Quiet,13.9 °C,14.7 °C,0.0 mm/h,0.0 mm/h,3.3 m/s,4.2 m/s,
2025-04-20,22%,Empty,15.4 °C,15.3 °C,0.13 mm/h,0.07 mm/h,1.7 m/s,3.2 m/s,
2025-04-21,6%,Empty,14.9 °C,14.5 °C,0.0 mm/h,0.0 mm/h,2.3 m/s,2.6 m/s,
2025-04-22,33%,Quiet,15.2 °C,15.0 °C,0.0 mm/h,0.0 mm/h,3.1 m/s,3.4 m/s,
2025-04-23,53%,Busy,12.9 °C,12.8 °C,0.34 mm/h,0.3 mm/h,2.1 m/s,3.0 m/s,
2025-04-24,24%,Empty,11.6 °C,12.2 °C,1.39 mm/h,0.82 mm/h,3.4 m/s,4.2 m/s,
2025-04-25,79%,Packed,14.3 °C,12.5 °C,0.0 mm/h,0.0 mm/h,2.6 m/s,3.5 m/s,
2025-04-26,65%,Busy,15.5 °C,15.6 °C,0.0 mm/h,0.0 mm/h,2.9 m/s,3.7 m/s,
2025-04-27,32%,Quiet,17.6 °C,18.8 °C,0.0 mm/h,0.0 mm/h,2.2 m/s,3.2 m/s,
2025-04-28,57%,Busy,19.3 °C,19.4 °C,0.0 mm/h,0.0 mm/h,1.8 m/s,2.7 m/s,
2025-04-29,61%,Busy,21.0 °C,21.2 °C,0.0 mm/h,0.0 mm/h,2.7 m/s,3.5 m/s,
2025-04-30,71%,Busy,22.9 °C,22.9 °C,0.0 mm/h,0.0 mm/h,2.0 m/s,2.5 m/s,
2025-05-01,76%,Packed,25.8 °C,26.1 °C,0.0 mm/h,0.0 mm/h,2.1 m/s,2.8 m/s,
2025-05-02,75%,Packed,23.9 °C,24.2 °C,0.0 mm/h,0.0 mm/h,3.5 m/s,3.9 m/s,
2025-05-03,60%,Busy,18.0 °C,17.3 °C,0.0 mm/h,0.0 mm/h,3.0 m/s,4.0 m/s,
2025-05-04,43%,Quiet,13.1 °C,12.3 °C,0.0 mm/h,0.0 mm/h,4.6 m/s,5.2 m/s,
2025-05-05,57%,Busy,13.3 °C,12.6 °C,0.0 mm/h,0.0 mm/h,4.6 m/s,5.2 m/s,
2025-05-06,42%,Quiet,13.0 °C,13.1 °C,0.03 mm/h,0.02 mm/h,4.1 m/s,5.6 m/s,
2025-05-07,15%,Empty,15.4 °C,13.6 °C,0.0 mm/h,0.0 mm/h,3.9 m/s,3.7 m/s,
2025-05-08,27%,Quiet,16.4 °C,16.7 °C,0.0 mm/h,0.0 mm/h,4.1 m/s,4.6 m/s,
2025-05-09,17%,Empty,17.6 °C,18.6 °C,0.0 mm/h,0.0 mm/h,3.9 m/s,5.5 m/s,
2025-05-10,40%,Quiet,20.4 °C,21.0 °C,0.0 mm/h,0.0 mm/h,3.7 m/s,5.0 m/s,
2025-05-11,34%,Quiet,23.1 °C,23.7 °C,0.0 mm/h,0.0 mm/h,4.1 m/s,5.1 m/s,
2025-05-12,25%,Quiet,23.4 °C,23.4 °C,0.0 mm/h,0.0 mm/h,3.8 m/s,4.6 m/s,
2025-05-13,27%,Quiet,21.2 °C,21.4 °C,0.0 mm/h,0.0 mm/h,3.5 m/s,4.6 m/s,
2025-05-14,15%,Empty,20.8 °C,20.5 °C,0.0 mm/h,0.0 mm/h,3.6 m/s,4.4 m/s,
2025-05-15,37%,Quiet,18.2 °C,18.0 °C,0.0 mm/h,0.0 mm/h,4.1 m/s,4.8 m/s,
2025-05-16,35%,Quiet,16.7 °C,16.4 °C,0.0 mm/h,0.0 mm/h,4.4 m/s,4.7 m/s,
2025-05-17,54%,Busy,18.2 °C,17.5 °C,0.0 mm/h,0.0 mm/h,3.9 m/s,5.0 m/s,
2025-05-18,45%,Quiet,17.1 °C,16.0 °C,0.01 mm/h,0.0 mm/h,2.1 m/s,2.6 m/s,
2025-05-19,28%,Quiet,19.2 °C,19.8 °C,0.0 mm/h,0.0 mm/h,2.5 m/s,3.2 m/s,
2025-05-20,29%,Quiet,21.0 °C,21.3 °C,0.0 mm/h,0.0 mm/h,2.9 m/s,3.9 m/s,
2025-05-21,27%,Quiet,18.1 °C,18.0 °C,0.01 mm/h,0.03 mm/h,3.9 m/s,4.6 m/s,
2025-05-22,33%,Quiet,14.2 °C,14.0 °C,0.0 mm/h,0.0 mm/h,5.1 m/s,5.7 m/s,
2025-05-23,28%,Quiet,13.6 °C,13.8 °C,0.0 mm/h,0.0 mm/h,4.9 m/s,6.5 m/s,
2025-05-24,29%,Quiet,13.3 °C,13.4 °C,0.4 mm/h,0.51 mm/h,4.2 m/s,5.2 m/s,
2025-05-25,29%,Quiet,18.0 °C,17.7 °C,0.07 mm/h,0.07 mm/h,5.7 m/s,6.2 m/s,
2025-05-26,62%,Busy,16.9 °C,17.1 °C,0.0 mm/h,0.0 mm/h,4.8 m/s,5.0 m/s,
2025-05-27,37%,Quiet,15.8 °C,15.7 °C,0.13 mm/h,0.59 mm/h,5.2 m/s,5.8 m/s,
2025-05-28,95%,Packed,16.0 °C,17.6 °C,0.66 mm/h,0.04 mm/h,4.9 m/s,6.7 m/s,
2025-05-29,31%,Quiet,17.4 °C,17.4 °C,0.01 mm/h,0.05 mm/h,4.0 m/s,5.2 m/s,
2025-05-30,89%,Packed,20.7 °C,21.4 °C,0.0 mm/h,0.0 mm/h,3.9 m/s,4.2 m/s,
2025-05-31,65%,Busy,23.2 °C,23.9 °C,0.0 mm/h,0.1 mm/h,1.9 m/s,1.7 m/s,
2025-06-01,33%,Quiet,19.3 °C,19.3 °C,0.0 mm/h,0.0 mm/h,4.3 m/s,4.5 m/s,
2025-06-02,46%,Quiet,18.3 °C,17.0 °C,0.0 mm/h,0.01 mm/h,4.1 m/s,4.0 m/s,
2025-06-03,33%,Quiet,22.0 °C,21.5 °C,0.0 mm/h,0.0 mm/h,5.0 m/s,6.3 m/s,
2025-06-04,16%,Empty,17.6 °C,16.6 °C,0.01 mm/h,0.03 mm/h,3.6 m/s,4.2 m/s,
2025-06-05,22%,Empty,15.2 °C,17.6 °C,0.42 mm/h,0.29 mm/h,3.9 m/s,6.0 m/s,
2025-06-06,34%,Quiet,17.6 °C,17.8 °C,0.03 mm/h,0.03 mm/h,4.9 m/s,6.0 m/s,
2025-06-07,7%,Empty,15.3 °C,15.3 °C,0.39 mm/h,0.82 mm/h,4.4 m/s,4.4 m/s,
2025-06-08,11%,Empty,15.0 °C,14.4 °C,0.15 mm/h,0.21 mm/h,6.2 m/s,7.7 m/s,
2025-06-09,45%,Quiet,18.1 °C,17.4 °C,0.0 mm/h,0.0 mm/h,3.7 m/s,3.7 m/s,
2025-06-10,83%,Packed,15.8 °C,16.8 °C,0.04 mm/h,0.02 mm/h,4.2 m/s,5.8 m/s,
2025-06-11,80%,Packed,18.9 °C,18.7 °C,0.0 mm/h,0.0 mm/h,2.2 m/s,2.7 m/s,
2025-06-12,31%,Quiet,25.0 °C,25.3 °C,0.0 mm/h,0.0 mm/h,4.9 m/s,6.7 m/s,
2025-06-13,29%,Quiet,29.0 °C,30.6 °C,0.0 mm/h,0.0 mm/h,1.5 m/s,3.1 m/s,
2025-06-14,39%,Quiet,25.5 °C,24.9 °C,0.47 mm/h,0.12 mm/h,3.2 m/s,3.2 m/s,
2025-06-15,35%,Quiet,21.0 °C,20.7 °C,0.0 mm/h,0.0 mm/h,4.3 m/s,5.3 m/s,
2025-06-16,75%,Packed,22.6 °C,22.8 °C,0.0 mm/h,0.0 mm/h,3.6 m/s,4.2 m/s,
2025-06-17,63%,Busy,24.6 °C,24.7 °C,0.0 mm/h,0.0 mm/h,1.8 m/s,3.1 m/s,
2025-06-18,47%,Quiet,24.6 °C,25.4 °C,0.0 mm/h,0.0 mm/h,3.3 m/s,3.9 m/s,
2025-06-19,58%,Busy,23.6 °C,23.5 °C,0.0 mm/h,0.0 mm/h,2.5 m/s,3.2 m/s,
2025-06-20,74%,Busy,24.1 °C,24.7 °C,0.0 mm/h,0.0 mm/h,3.3 m/s,4.0 m/s,
2025-06-21,61%,Busy,29.1 °C,29.5 °C,0.0 mm/h,0.0 mm/h,2.3 m/s,3.3 m/s,
2025-06-22,25%,Quiet,27.1 °C,26.2 °C,0.05 mm/h,0.02 mm/h,3.6 m/s,4.7 m/s,
2025-06-23,73%,Busy,20.0 °C,19.4 °C,0.11 mm/h,0.0 mm/h,6.0 m/s,8.4 m/s,
2025-06-24,59%,Busy,19.0 °C,19.2 °C,0.01 mm/h,0.01 mm/h,4.8 m/s,5.7 m/s,
2025-06-25,63%,Busy,24.9 °C,24.9 °C,0.0 mm/h,0.0 mm/h,2.9 m/s,3.3 m/s,
2025-06-26,68%,Busy,22.2 °C,21.3 °C,0.08 mm/h,0.29 mm/h,5.5 m/s,5.4 m/s,
2025-06-27,81%,Packed,21.2 °C,20.9 °C,0.0 mm/h,0.0 mm/h,3.6 m/s,4.1 m/s,
2025-06-28,65%,Busy,24.4 °C,24.6 °C,0.0 mm/h,0.0 mm/h,4.1 m/s,4.1 m/s,
2025-06-29,42%,Quiet,26.8 °C,26.9 °C,0.0 mm/h,0.0 mm/h,2.9 m/s,3.5 m/s,
2025-06-30,41%,Quiet,28.6 °C,29.3 °C,0.0 mm/h,0.0 mm/h,2.5 m/s,3.0 m/s,
2025-07-01,23%,Empty,34.1 °C,34.8 °C,0.0 mm/h,0.0 mm/h,1.8 m/s,3.3 m/s,
2025-07-02,25%,Quiet,28.7 °C,30.1 °C,0.59 mm/h,0.05 mm/h,2.5 m/s,4.7 m/s,
2025-07-03,67%,Busy,21.2 °C,21.0 °C,0.0 mm/h,0.0 mm/h,3.8 m/s,4.2 m/s,
2025-07-04,59%,Busy,23.1 °C,23.5 °C,0.0 mm/h,0.0 mm/h,2.6 m/s,3.5 m/s,
2025-07-05,76%,Packed,20.4 °C,21.7 °C,0.01 mm/h,0.09 mm/h,3.9 m/s,5.2 m/s,
2025-07-06,22%,Empty,17.2 °C,16.9 °C,0.72 mm/h,0.73 mm/h,3.2 m/s,3.2 m/s,
2025-07-07,38%,Quiet,17.4 °C,18.2 °C,0.25 mm/h,0.06 mm/h,4.4 m/s,5.9 m/s,
2025-07-08,38%,Quiet,17.9 °C,16.9 °C,0.0 mm/h,0.0 mm/h,4.1 m/s,4.7 m/s,
2025-07-09,60%,Busy,21.4 °C,21.9 °C,0.0 mm/h,0.0 mm/h,2.7 m/s,3.5 m/s,
2025-07-10,50%,Busy,23.2 °C,23.4 °C,0.0 mm/h,0.0 mm/h,2.6 m/s,3.4 m/s,
2025-07-11,39%,Quiet,22.6 °C,22.9 °C,0.0 mm/h,0.0 mm/h,3.0 m/s,3.8 m/s,
2025-07-12,57%,Busy,23.5 °C,23.4 °C,0.0 mm/h,0.0 mm/h,3.2 m/s,3.8 m/s,
2025-07-13,31%,Quiet,22.6 °C,22.0 °C,0.01 mm/h,0.0 mm/h,1.6 m/s,2.3 m/s,
2025-07-14,43%,Quiet,23.6 °C,23.3 °C,0.03 mm/h,0.04 mm/h,3.2 m/s,4.1 m/s,
2025-07-15,40%,Quiet,20.6 °C,20.8 °C,0.02 mm/h,0.0 mm/h,3.2 m/s,4.1 m/s,
2025-07-16,26%,Quiet,19.1 °C,18.4 °C,0.07 mm/h,0.15 mm/h,4.3 m/s,5.2 m/s,
2025-07-17,43%,Quiet,22.9 °C,22.9 °C,0.0 mm/h,0.0 mm/h,2.5 m/s,2.9 m/s,
2025-07-18,27%,Quiet,24.7 °C,25.3 °C,0.0 mm/h,0.0 mm/h,1.3 m/s,2.2 m/s,
2025-07-19,41%,Quiet,26.6 °C,26.6 °C,0.18 mm/h,0.05 mm/h,3.7 m/s,4.2 m/s,
2025-07-20,33%,Quiet,21.1 °C,22.0 °C,0.14 mm/h,0.45 mm/h,3.5 m/s,3.8 m/s,
2025-07-21,41%,Quiet,19.8 °C,20.4 °C,0.66 mm/h,0.45 mm/h,3.5 m/s,5.1 m/s,
2025-07-22,55%,Busy,21.9 °C,21.5 °C,0.08 mm/h,0.05 mm/h,4.2 m/s,5.0 m/s,
2025-07-23,37%,Quiet,20.4 °C,19.6 °C,0.15 mm/h,0.12 mm/h,2.8 m/s,2.9 m/s,
2025-07-24,61%,Busy,23.2 °C,22.3 °C,0.0 mm/h,0.0 mm/h,2.2 m/s,2.5 m/s,
2025-07-25,47%,Quiet,21.3 °C,20.7 °C,0.16 mm/h,0.03 mm/h,1.7 m/s,2.4 m/s,
2025-07-26,55%,Busy,22.3 °C,23.3 °C,0.0 mm/h,0.0 mm/h,2.7 m/s,4.2 m/s,
2025-07-27,33%,Quiet,20.9 °C,18.2 °C,0.0 mm/h,0.07 mm/h,3.5 m/s,2.5 m/s,
2025-07-28,55%,Busy,19.8 °C,19.2 °C,0.04 mm/h,0.02 mm/h,3.5 m/s,4.3 m/s,
2025-07-29,81%,Packed,20.4 °C,20.7 °C,0.05 mm/h,0.11 mm/h,2.5 m/s,3.5 m/s,
2025-07-30,94%,Packed,20.3 °C,20.3 °C,0.0 mm/h,0.0 mm/h,3.2 m/s,4.7 m/s,
2025-07-31,49%,Quiet,20.7 °C,19.3 °C,0.18 mm/h,0.18 mm/h,3.4 m/s,3.5 m/s,
2025-08-01,23%,Empty,17.9 °C,18.6 °C,0.49 mm/h,0.19 mm/h,3.6 m/s,4.8 m/s,
