date,crowd_percent,crowd_label,temperature_forecast,temperature_actual,intensity_forecast,intensity_actual,wind_forecast,wind_actual,events
2025-01-01,37%,Quiet,6.8 °C,8.3 °C,0.65 mm/h,0.22 mm/h,7.8 m/s,9.5 m/s,🎄 Winter Efteling
2025-01-02,56%,Busy,4.4 °C,3.2 °C,0.01 mm/h,0.06 mm/h,2.3 m/s,2.2 m/s,🎄 Winter Efteling
2025-01-03,69%,Busy,3.1 °C,2.8 °C,0.09 mm/h,0.12 mm/h,3.8 m/s,4.1 m/s,🎄 Winter Efteling
2025-01-04,64%,Busy,1.7 °C,1.5 °C,0.0 mm/h,0.0 mm/h,2.5 m/s,2.8 m/s,🎄 Winter Efteling
2025-01-05,12%,Empty,7.3 °C,7.8 °C,1.18 mm/h,1.29 mm/h,5.0 m/s,5.6 m/s,🎄 Winter Efteling
2025-01-06,32%,Quiet,8.9 °C,9.2 °C,0.24 mm/h,0.2 mm/h,8.5 m/s,10.7 m/s,🎄 Winter Efteling
2025-01-07,4%,Empty,4.2 °C,3.7 °C,0.19 mm/h,0.13 mm/h,6.3 m/s,5.5 m/s,🎄 Winter Efteling
2025-01-08,6%,Empty,2.8 °C,3.0 °C,0.0 mm/h,0.0 mm/h,2.4 m/s,2.1 m/s,🎄 Winter Efteling
2025-01-09,7%,Empty,4.0 °C,2.0 °C,0.01 mm/h,0.05 mm/h,3.0 m/s,3.1 m/s,🎄 Winter Efteling
2025-01-10,14%,Empty,1.6 °C,3.2 °C,0.0 mm/h,0.0 mm/h,2.8 m/s,3.1 m/s,🎄 Winter Efteling
2025-01-11,62%,Busy,0.8 °C,-0.6 °C,0.01 mm/h,0.01 mm/h,1.9 m/s,2.2 m/s,🎄 Winter Efteling
2025-01-12,57%,Busy,2.3 °C,3.2 °C,0.0 mm/h,0.0 mm/h,1.0 m/s,1.6 m/s,🎄 Winter Efteling
2025-01-13,18%,Empty,0.5 °C,2.9 °C,0.0 mm/h,0.0 mm/h,1.5 m/s,2.3 m/s,🎄 Winter Efteling
2025-01-14,2%,Empty,2.7 °C,2.7 °C,0.0 mm/h,0.0 mm/h,2.9 m/s,3.4 m/s,🎄 Winter Efteling
2025-01-15,10%,Empty,6.7 °C,6.4 °C,0.0 mm/h,0.0 mm/h,0.7 m/s,1.2 m/s,🎄 Winter Efteling
