date,crowd_percent,crowd_label,temperature_forecast,temperature_actual,intensity_forecast,intensity_actual,wind_forecast,wind_actual,events
2023-01-01,13%,Empty,11.8 °C,12.3 °C,0.21 mm/h,0.13 mm/h,6.7 m/s,6.4 m/s,🎄 Winter Efteling
2023-01-02,45%,Quiet,8.8 °C,8.8 °C,0.21 mm/h,0.31 mm/h,4.8 m/s,4.9 m/s,🎄 Winter Efteling
2023-01-03,97%,Packed,8.0 °C,7.5 °C,0.0 mm/h,0.0 mm/h,6.8 m/s,6.4 m/s,🎄 Winter Efteling
2023-01-04,58%,Busy,11.6 °C,11.8 °C,0.21 mm/h,0.18 mm/h,10.3 m/s,10.9 m/s,🎄 Winter Efteling
2023-01-05,95%,Packed,9.7 °C,10.4 °C,0.05 mm/h,0.04 mm/h,4.7 m/s,4.9 m/s,🎄 Winter Efteling
2023-01-06,68%,Busy,10.5 °C,10.1 °C,0.11 mm/h,0.09 mm/h,5.4 m/s,5.4 m/s,🎄 Winter Efteling
2023-01-07,67%,Busy,9.3 °C,9.8 °C,0.09 mm/h,0.08 mm/h,7.8 m/s,8.0 m/s,🎄 Winter Efteling
2023-01-08,56%,Busy,8.6 °C,8.5 °C,0.11 mm/h,0.06 mm/h,6.4 m/s,6.9 m/s,🎄 Winter Efteling
2023-01-09,19%,Empty,7.4 °C,7.6 °C,0.13 mm/h,0.16 mm/h,6.5 m/s,6.3 m/s,🎄 Winter Efteling
2023-01-10,8%,Empty,6.0 °C,5.8 °C,0.24 mm/h,0.47 mm/h,7.5 m/s,7.8 m/s,🎄 Winter Efteling
2023-01-11,11%,Empty,8.7 °C,9.3 °C,0.05 mm/h,0.05 mm/h,7.1 m/s,7.4 m/s,🎄 Winter Efteling
2023-01-12,3%,Empty,10.2 °C,10.2 °C,0.74 mm/h,1.21 mm/h,9.5 m/s,9.8 m/s,🎄 Winter Efteling
2023-01-13,10%,Empty,7.9 °C,7.9 °C,0.11 mm/h,0.14 mm/h,10.2 m/s,10.0 m/s,🎄 Winter Efteling
2023-01-14,13%,Empty,10.0 °C,9.7 °C,1.05 mm/h,0.91 mm/h,11.2 m/s,11.3 m/s,🎄 Winter Efteling
2023-01-15,46%,Quiet,5.8 °C,6.4 °C,0.16 mm/h,0.16 mm/h,9.9 m/s,10.4 m/s,🎄 Winter Efteling
2023-01-16,6%,Empty,4.2 °C,4.9 °C,0.67 mm/h,0.63 mm/h,5.1 m/s,5.4 m/s,🎄 Winter Efteling
2023-01-17,9%,Empty,2.5 °C,2.6 °C,0.0 mm/h,0.0 mm/h,2.8 m/s,2.4 m/s,🎄 Winter Efteling
2023-01-18,11%,Empty,2.7 °C,2.9 °C,0.1 mm/h,0.09 mm/h,6.0 m/s,6.1 m/s,🎄 Winter Efteling
2023-01-19,4%,Empty,3.5 °C,3.5 °C,0.09 mm/h,0.06 mm/h,3.4 m/s,3.7 m/s,🎄 Winter Efteling
2023-01-20,21%,Empty,3.6 °C,2.2 °C,0.28 mm/h,0.54 mm/h,3.7 m/s,3.1 m/s,🎄 Winter Efteling
2023-01-21,87%,Packed,0.3 °C,0.4 °C,0.0 mm/h,0.0 mm/h,2.7 m/s,3.1 m/s,🎄 Winter Efteling
2023-01-22,96%,Packed,1.1 °C,0.9 °C,0.0 mm/h,0.0 mm/h,3.8 m/s,3.9 m/s,🎄 Winter Efteling
2023-01-23,17%,Empty,2.6 °C,2.7 °C,0.0 mm/h,0.01 mm/h,3.4 m/s,3.5 m/s,🎄 Winter Efteling
2023-01-24,9%,Empty,2.3 °C,2.2 °C,0.0 mm/h,0.0 mm/h,3.5 m/s,3.4 m/s,🎄 Winter Efteling
2023-01-25,14%,Empty,1.6 °C,0.2 °C,0.0 mm/h,0.0 mm/h,2.2 m/s,2.2 m/s,🎄 Winter Efteling
2023-01-26,9%,Empty,5.7 °C,5.5 °C,0.02 mm/h,0.02 mm/h,4.4 m/s,4.8 m/s,🎄 Winter Efteling
2023-01-27,21%,Empty,4.1 °C,4.2 °C,0.0 mm/h,0.0 mm/h,4.4 m/s,4.5 m/s,🎄 Winter Efteling
2023-01-28,94%,Packed,2.4 °C,2.2 °C,0.0 mm/h,0.0 mm/h,1.4 m/s,1.8 m/s,🎄 Winter Efteling
2023-01-29,92%,Packed,3.2 °C,2.6 °C,0.02 mm/h,0.01 mm/h,5.6 m/s,5.8 m/s,🎄 Winter Efteling
2023-01-30,16%,Empty,7.4 °C,7.0 °C,0.02 mm/h,0.01 mm/h,8.1 m/s,8.4 m/s,🎄 Winter Efteling
2023-01-31,5%,Empty,6.9 °C,7.2 °C,0.04 mm/h,0.03 mm/h,7.4 m/s,7.9 m/s,🎄 Winter Efteling
2023-02-01,13%,Empty,7.6 °C,7.3 °C,0.05 mm/h,0.03 mm/h,9.7 m/s,9.9 m/s,🎄 Winter Efteling
2023-02-02,0%,Empty,7.8 °C,8.4 °C,0.04 mm/h,0.03 mm/h,6.3 m/s,6.5 m/s,🎄 Winter Efteling
2023-02-03,32%,Quiet,9.6 °C,9.6 °C,0.01 mm/h,0.04 mm/h,6.9 m/s,7.7 m/s,🎄 Winter Efteling
2023-02-04,79%,Packed,8.2 °C,8.5 °C,0.03 mm/h,0.03 mm/h,1.5 m/s,1.3 m/s,🎄 Winter Efteling
2023-02-05,63%,Busy,7.0 °C,6.9 °C,0.01 mm/h,0.01 mm/h,6.8 m/s,7.5 m/s,🎄 Winter Efteling
2023-02-06,25%,Quiet,5.8 °C,5.4 °C,0.0 mm/h,0.0 mm/h,3.3 m/s,3.1 m/s,🎄 Winter Efteling
2023-02-07,13%,Empty,3.8 °C,3.6 °C,0.0 mm/h,0.0 mm/h,3.0 m/s,2.8 m/s,🎄 Winter Efteling
2023-02-08,21%,Empty,4.5 °C,4.9 °C,0.0 mm/h,0.0 mm/h,3.3 m/s,3.1 m/s,🎄 Winter Efteling
2023-02-09,15%,Empty,4.2 °C,4.5 °C,0.0 mm/h,0.0 mm/h,3.9 m/s,3.8 m/s,🎄 Winter Efteling
2023-02-10,27%,Quiet,5.8 °C,5.9 °C,0.0 mm/h,0.0 mm/h,4.7 m/s,4.7 m/s,🎄 Winter Efteling
