date,crowd_percent,crowd_label,temperature_forecast,temperature_actual,intensity_forecast,intensity_actual,wind_forecast,wind_actual,events
2024-01-01,34%,Quiet,7.3 °C,7.6 °C,0.07 mm/h,0.23 mm/h,5.4 m/s,5.4 m/s,🎄 Winter Efteling
2024-01-02,23%,Empty,11.2 °C,11.7 °C,1.44 mm/h,1.15 mm/h,5.8 m/s,7.6 m/s,🎄 Winter Efteling
2024-01-03,51%,Busy,9.3 °C,9.9 °C,0.17 mm/h,0.28 mm/h,5.6 m/s,6.6 m/s,🎄 Winter Efteling
2024-01-04,78%,Packed,8.1 °C,7.9 °C,0.15 mm/h,0.14 mm/h,3.7 m/s,3.0 m/s,🎄 Winter Efteling
2024-01-05,71%,Busy,7.1 °C,6.7 °C,0.06 mm/h,0.05 mm/h,4.9 m/s,5.5 m/s,🎄 Winter Efteling
2024-01-06,84%,Packed,4.1 °C,3.6 °C,0.03 mm/h,0.0 mm/h,3.4 m/s,4.1 m/s,🎄 Winter Efteling
2024-01-07,56%,Busy,-0.3 °C,0.0 °C,0.0 mm/h,0.01 mm/h,4.6 m/s,5.9 m/s,🎄 Winter Efteling
2024-01-08,47%,Quiet,-2.2 °C,-1.2 °C,0.0 mm/h,0.0 mm/h,5.1 m/s,7.1 m/s,🎄 Winter Efteling
2024-01-09,6%,Empty,-2.8 °C,-1.7 °C,0.0 mm/h,0.0 mm/h,4.2 m/s,6.3 m/s,🎄 Winter Efteling
2024-01-10,13%,Empty,-2.7 °C,-1.4 °C,0.0 mm/h,0.0 mm/h,2.9 m/s,3.8 m/s,🎄 Winter Efteling
2024-01-11,1%,Empty,-1.6 °C,-1.0 °C,0.0 mm/h,0.0 mm/h,2.2 m/s,2.9 m/s,🎄 Winter Efteling
2024-01-12,19%,Empty,1.4 °C,3.4 °C,0.0 mm/h,0.0 mm/h,1.2 m/s,1.4 m/s,🎄 Winter Efteling
2024-01-13,90%,Packed,4.2 °C,3.2 °C,0.01 mm/h,0.02 mm/h,3.9 m/s,3.5 m/s,🎄 Winter Efteling
2024-01-14,90%,Packed,3.5 °C,1.4 °C,0.17 mm/h,0.19 mm/h,3.8 m/s,4.2 m/s,🎄 Winter Efteling
2024-01-15,4%,Empty,2.7 °C,1.1 °C,0.15 mm/h,0.09 mm/h,4.3 m/s,4.5 m/s,🎄 Winter Efteling
2024-01-16,12%,Empty,0.8 °C,0.5 °C,0.0 mm/h,0.0 mm/h,3.6 m/s,3.5 m/s,🎄 Winter Efteling
2024-01-17,11%,Empty,-0.3 °C,-1.4 °C,0.0 mm/h,0.0 mm/h,0.9 m/s,1.9 m/s,🎄 Winter Efteling
