date,crowd_percent,crowd_label,temperature_forecast,temperature_actual,intensity_forecast,intensity_actual,wind_forecast,wind_actual,events
2024-01-18,9%,Empty,1.7 °C,1.1 °C,0.0 mm/h,0.0 mm/h,2.0 m/s,2.3 m/s,🎄 Winter Efteling
2024-01-19,4%,Empty,1.4 °C,2.0 °C,0.0 mm/h,0.0 mm/h,2.6 m/s,3.1 m/s,🎄 Winter Efteling
2024-01-20,75%,Packed,0.2 °C,-0.7 °C,0.0 mm/h,0.0 mm/h,3.2 m/s,4.3 m/s,🎄 Winter Efteling
2024-01-21,79%,Packed,2.1 °C,4.0 °C,0.04 mm/h,0.0 mm/h,5.9 m/s,7.5 m/s,🎄 Winter Efteling
2024-01-22,9%,Empty,9.7 °C,9.9 °C,0.04 mm/h,0.26 mm/h,6.5 m/s,9.0 m/s,🎄 Winter Efteling
2024-01-23,9%,Empty,7.5 °C,8.2 °C,0.19 mm/h,0.29 mm/h,5.3 m/s,6.2 m/s,🎄 Winter Efteling
2024-01-24,23%,Empty,9.6 °C,10.7 °C,0.0 mm/h,0.0 mm/h,6.9 m/s,7.4 m/s,🎄 Winter Efteling
2024-01-25,3%,Empty,8.0 °C,7.8 °C,0.1 mm/h,0.03 mm/h,2.7 m/s,3.3 m/s,🎄 Winter Efteling
2024-01-26,31%,Quiet,8.7 °C,8.3 °C,0.04 mm/h,0.06 mm/h,5.7 m/s,8.3 m/s,🎄 Winter Efteling
2024-01-27,74%,Busy,4.7 °C,5.2 °C,0.0 mm/h,0.0 mm/h,2.2 m/s,2.5 m/s,🎄 Winter Efteling
2024-01-28,80%,Packed,6.3 °C,7.1 °C,0.0 mm/h,0.0 mm/h,2.4 m/s,3.0 m/s,🎄 Winter Efteling
2024-01-29,43%,Quiet,9.0 °C,10.0 °C,0.0 mm/h,0.0 mm/h,2.4 m/s,2.9 m/s,🎄 Winter Efteling
2024-01-30,3%,Empty,8.9 °C,9.7 °C,0.0 mm/h,0.03 mm/h,5.3 m/s,5.5 m/s,🎄 Winter Efteling
2024-01-31,11%,Empty,7.1 °C,7.4 °C,0.0 mm/h,0.0 mm/h,3.5 m/s,4.5 m/s,🎄 Winter Efteling
2024-02-01,11%,Empty,7.2 °C,8.1 °C,0.0 mm/h,0.0 mm/h,3.1 m/s,3.7 m/s,🎄 Winter Efteling
2024-02-02,30%,Quiet,8.8 °C,9.0 °C,0.0 mm/h,0.0 mm/h,4.9 m/s,5.2 m/s,🎄 Winter Efteling
2024-02-03,23%,Empty,10.1 °C,10.4 °C,0.41 mm/h,0.03 mm/h,4.9 m/s,5.0 m/s,🎄 Winter Efteling
2024-02-04,72%,Busy,11.1 °C,11.7 °C,0.06 mm/h,0.04 mm/h,6.3 m/s,7.3 m/s,🎄 Winter Efteling
2024-02-05,17%,Empty,9.7 °C,10.3 °C,0.0 mm/h,0.0 mm/h,6.5 m/s,8.4 m/s,
2024-02-06,3%,Empty,10.8 °C,11.7 °C,0.04 mm/h,0.01 mm/h,7.7 m/s,8.4 m/s,
2024-02-07,10%,Empty,6.7 °C,5.8 °C,0.01 mm/h,0.0 mm/h,1.6 m/s,1.8 m/s,
2024-02-08,20%,Empty,3.1 °C,4.3 °C,1.18 mm/h,1.23 mm/h,3.6 m/s,4.1 m/s,
2024-02-09,4%,Empty,12.2 °C,12.4 °C,0.0 mm/h,0.03 mm/h,4.6 m/s,4.8 m/s,
2024-02-10,27%,Quiet,11.2 °C,11.9 °C,0.0 mm/h,0.0 mm/h,1.7 m/s,2.8 m/s,
2024-02-11,26%,Quiet,9.7 °C,9.2 °C,0.02 mm/h,0.02 mm/h,3.5 m/s,2.6 m/s,
2024-02-12,41%,Quiet,7.7 °C,8.4 °C,0.1 mm/h,0.01 mm/h,3.7 m/s,3.8 m/s,
2024-02-13,39%,Quiet,7.6 °C,8.5 °C,0.01 mm/h,0.0 mm/h,3.8 m/s,4.7 m/s,
2024-02-14,22%,Empty,11.2 °C,11.8 °C,0.91 mm/h,0.57 mm/h,4.2 m/s,5.1 m/s,
2024-02-15,34%,Quiet,14.0 °C,14.4 °C,0.01 mm/h,0.01 mm/h,3.6 m/s,3.6 m/s,
2024-02-16,42%,Quiet,11.8 °C,12.4 °C,0.18 mm/h,0.2 mm/h,4.2 m/s,3.9 m/s,
2024-02-17,59%,Busy,11.4 °C,11.6 °C,0.0 mm/h,0.0 mm/h,2.2 m/s,2.4 m/s,
2024-02-18,3%,Empty,8.7 °C,9.6 °C,1.18 mm/h,0.71 mm/h,4.2 m/s,7.4 m/s,
2024-02-19,25%,Quiet,9.3 °C,9.9 °C,0.26 mm/h,0.09 mm/h,4.6 m/s,4.4 m/s,
2024-02-20,29%,Quiet,9.3 °C,9.6 °C,0.0 mm/h,0.01 mm/h,3.9 m/s,4.8 m/s,
2024-02-21,17%,Empty,9.1 °C,9.5 °C,0.24 mm/h,0.27 mm/h,5.2 m/s,7.1 m/s,
2024-02-22,2%,Empty,11.3 °C,11.9 °C,0.62 mm/h,0.32 mm/h,5.3 m/s,7.2 m/s,
2024-02-23,26%,Quiet,7.2 °C,7.5 °C,0.14 mm/h,0.09 mm/h,6.0 m/s,6.9 m/s,
2024-02-24,36%,Quiet,6.9 °C,6.0 °C,0.01 mm/h,0.19 mm/h,5.0 m/s,5.2 m/s,
2024-02-25,48%,Quiet,8.2 °C,7.9 °C,0.0 mm/h,0.01 mm/h,3.3 m/s,3.4 m/s,
2024-02-26,15%,Empty,6.0 °C,5.5 °C,0.73 mm/h,0.93 mm/h,5.4 m/s,7.3 m/s,
2024-02-27,9%,Empty,7.3 °C,7.4 °C,0.0 mm/h,0.0 mm/h,2.5 m/s,3.5 m/s,
2024-02-28,3%,Empty,8.4 °C,7.4 °C,0.0 mm/h,0.0 mm/h,3.2 m/s,4.0 m/s,
2024-02-29,11%,Empty,7.9 °C,8.7 °C,0.54 mm/h,0.4 mm/h,4.1 m/s,4.9 m/s,
2024-03-01,13%,Empty,8.2 °C,8.8 °C,0.03 mm/h,0.11 mm/h,5.6 m/s,7.8 m/s,
2024-03-02,96%,Packed,10.4 °C,11.4 °C,0.0 mm/h,0.0 mm/h,3.9 m/s,5.7 m/s,
2024-03-03,99%,Packed,10.1 °C,12.3 °C,0.01 mm/h,0.03 mm/h,2.4 m/s,2.9 m/s,
2024-03-04,28%,Quiet,9.8 °C,10.1 °C,0.0 mm/h,0.0 mm/h,1.8 m/s,2.1 m/s,
2024-03-05,5%,Empty,8.9 °C,8.0 °C,0.14 mm/h,0.04 mm/h,2.1 m/s,1.5 m/s,
2024-03-06,18%,Empty,9.9 °C,10.2 °C,0.0 mm/h,0.0 mm/h,1.8 m/s,2.0 m/s,
2024-03-07,19%,Empty,8.1 °C,8.6 °C,0.0 mm/h,0.0 mm/h,3.9 m/s,6.2 m/s,
2024-03-08,34%,Quiet,8.5 °C,9.2 °C,0.0 mm/h,0.0 mm/h,4.9 m/s,7.8 m/s,
2024-03-09,72%,Busy,12.4 °C,11.8 °C,0.0 mm/h,0.0 mm/h,4.3 m/s,5.2 m/s,
2024-03-10,70%,Busy,12.0 °C,11.4 °C,0.02 mm/h,0.0 mm/h,2.7 m/s,3.4 m/s,
2024-03-11,14%,Empty,8.8 °C,8.1 °C,0.99 mm/h,0.42 mm/h,4.2 m/s,2.5 m/s,
2024-03-12,6%,Empty,9.5 °C,9.3 °C,0.28 mm/h,0.1 mm/h,3.6 m/s,4.5 m/s,
2024-03-13,8%,Empty,12.7 °C,12.2 °C,0.01 mm/h,0.0 mm/h,3.6 m/s,3.7 m/s,
2024-03-14,7%,Empty,14.8 °C,15.7 °C,0.0 mm/h,0.0 mm/h,3.9 m/s,4.8 m/s,
2024-03-15,16%,Empty,13.2 °C,14.2 °C,0.27 mm/h,0.43 mm/h,4.8 m/s,5.4 m/s,
2024-03-16,62%,Busy,10.8 °C,9.3 °C,0.0 mm/h,0.0 mm/h,2.9 m/s,3.5 m/s,
2024-03-17,62%,Busy,10.4 °C,12.6 °C,0.72 mm/h,0.22 mm/h,3.5 m/s,4.1 m/s,
2024-03-18,20%,Empty,13.2 °C,13.5 °C,0.0 mm/h,0.0 mm/h,3.3 m/s,3.3 m/s,
2024-03-19,8%,Empty,15.6 °C,15.4 °C,0.0 mm/h,0.0 mm/h,3.1 m/s,4.0 m/s,
2024-03-20,38%,Quiet,16.4 °C,16.4 °C,0.0 mm/h,0.0 mm/h,1.9 m/s,1.5 m/s,
2024-03-21,14%,Empty,11.1 °C,10.0 °C,0.0 mm/h,0.0 mm/h,2.4 m/s,3.0 m/s,
2024-03-22,12%,Empty,9.4 °C,10.0 °C,0.54 mm/h,0.6 mm/h,3.3 m/s,3.8 m/s,
2024-03-23,95%,Packed,7.1 °C,6.7 °C,0.28 mm/h,0.29 mm/h,5.7 m/s,5.6 m/s,
2024-03-24,94%,Packed,7.8 °C,8.1 °C,0.28 mm/h,0.24 mm/h,6.7 m/s,8.9 m/s,
2024-03-25,24%,Empty,10.1 °C,11.1 °C,0.0 mm/h,0.0 mm/h,2.9 m/s,3.7 m/s,
2024-03-26,43%,Quiet,12.7 °C,11.1 °C,0.0 mm/h,0.0 mm/h,3.4 m/s,3.4 m/s,
2024-03-27,38%,Quiet,10.7 °C,11.0 °C,0.01 mm/h,0.01 mm/h,4.0 m/s,5.2 m/s,
2024-03-28,65%,Busy,10.5 °C,10.3 °C,0.04 mm/h,0.14 mm/h,6.0 m/s,6.7 m/s,
2024-03-29,42%,Quiet,12.9 °C,13.1 °C,0.0 mm/h,0.01 mm/h,4.7 m/s,5.1 m/s,
2024-03-30,34%,Quiet,12.1 °C,10.3 °C,0.0 mm/h,0.05 mm/h,3.3 m/s,2.7 m/s,
2024-03-31,61%,Busy,14.6 °C,13.1 °C,0.17 mm/h,0.44 mm/h,2.5 m/s,3.1 m/s,
2024-04-01,53%,Busy,11.4 °C,12.1 °C,0.0 mm/h,0.0 mm/h,3.9 m/s,4.2 m/s,
2024-04-02,65%,Busy,10.7 °C,10.7 °C,0.35 mm/h,0.15 mm/h,5.6 m/s,5.1 m/s,
2024-04-03,54%,Busy,12.9 °C,12.4 °C,0.13 mm/h,0.06 mm/h,5.0 m/s,5.4 m/s,
2024-04-04,12%,Empty,12.7 °C,13.7 °C,0.5 mm/h,0.39 mm/h,4.8 m/s,7.0 m/s,
2024-04-05,62%,Busy,15.7 °C,16.8 °C,0.11 mm/h,0.16 mm/h,5.4 m/s,6.5 m/s,
2024-04-06,79%,Packed,21.6 °C,22.1 °C,0.0 mm/h,0.0 mm/h,4.7 m/s,7.1 m/s,
2024-04-07,54%,Busy,16.9 °C,19.0 °C,0.01 mm/h,0.01 mm/h,5.3 m/s,6.6 m/s,
2024-04-08,65%,Busy,17.7 °C,17.7 °C,0.05 mm/h,0.01 mm/h,2.6 m/s,2.9 m/s,
2024-04-09,46%,Quiet,11.7 °C,11.4 °C,0.03 mm/h,0.01 mm/h,7.6 m/s,8.5 m/s,
2024-04-10,89%,Packed,13.3 °C,13.4 °C,0.0 mm/h,0.0 mm/h,3.6 m/s,4.1 m/s,
2024-04-11,64%,Busy,13.8 °C,13.5 °C,0.01 mm/h,0.0 mm/h,3.9 m/s,3.2 m/s,
2024-04-12,81%,Packed,18.5 °C,19.1 °C,0.0 mm/h,0.0 mm/h,4.9 m/s,5.1 m/s,
2024-04-13,76%,Packed,19.9 °C,21.1 °C,0.0 mm/h,0.0 mm/h,5.0 m/s,5.7 m/s,
2024-04-14,49%,Quiet,13.4 °C,14.0 °C,0.0 mm/h,0.0 mm/h,3.7 m/s,3.9 m/s,
2024-04-15,2%,Empty,10.1 °C,9.1 °C,0.9 mm/h,0.8 mm/h,7.1 m/s,7.6 m/s,
2024-04-16,13%,Empty,10.3 °C,9.2 °C,0.48 mm/h,0.64 mm/h,6.0 m/s,7.5 m/s,
2024-04-17,22%,Empty,9.1 °C,7.2 °C,0.42 mm/h,0.47 mm/h,3.5 m/s,3.4 m/s,
2024-04-18,30%,Quiet,10.9 °C,10.3 °C,0.0 mm/h,0.0 mm/h,3.3 m/s,4.7 m/s,
2024-04-19,14%,Empty,9.9 °C,10.1 °C,0.26 mm/h,0.39 mm/h,5.2 m/s,8.5 m/s,
2024-04-20,32%,Quiet,9.0 °C,8.6 °C,0.0 mm/h,0.02 mm/h,5.4 m/s,6.4 m/s,
2024-04-21,34%,Quiet,9.1 °C,8.6 °C,0.03 mm/h,0.04 mm/h,3.9 m/s,5.6 m/s,
2024-04-22,37%,Quiet,8.1 °C,8.6 °C,0.2 mm/h,0.13 mm/h,3.0 m/s,3.5 m/s,
2024-04-23,39%,Quiet,8.8 °C,9.1 °C,0.0 mm/h,0.0 mm/h,2.1 m/s,3.4 m/s,
2024-04-24,23%,Empty,9.3 °C,7.5 °C,0.13 mm/h,0.26 mm/h,5.0 m/s,5.7 m/s,
2024-04-25,27%,Quiet,8.5 °C,8.4 °C,0.17 mm/h,0.07 mm/h,3.7 m/s,4.7 m/s,
2024-04-26,47%,Quiet,9.4 °C,10.6 °C,0.18 mm/h,0.0 mm/h,0.9 m/s,2.5 m/s,
2024-04-27,34%,Quiet,13.5 °C,14.2 °C,0.22 mm/h,0.11 mm/h,3.1 m/s,3.3 m/s,
2024-04-28,33%,Quiet,15.2 °C,14.4 °C,0.0 mm/h,0.01 mm/h,6.8 m/s,8.1 m/s,
2024-04-29,81%,Packed,17.2 °C,17.3 °C,0.0 mm/h,0.0 mm/h,3.3 m/s,4.2 m/s,
2024-04-30,84%,Packed,19.6 °C,19.5 °C,0.01 mm/h,0.0 mm/h,2.4 m/s,3.2 m/s,
2024-05-01,92%,Packed,23.1 °C,22.2 °C,0.06 mm/h,0.19 mm/h,2.7 m/s,4.1 m/s,
2024-05-02,75%,Packed,21.5 °C,20.7 °C,0.14 mm/h,0.02 mm/h,2.5 m/s,4.3 m/s,
2024-05-03,19%,Empty,11.5 °C,11.6 °C,2.09 mm/h,0.31 mm/h,5.3 m/s,4.8 m/s,
2024-05-04,59%,Busy,14.3 °C,14.1 °C,0.43 mm/h,0.69 mm/h,2.6 m/s,3.3 m/s,
2024-05-05,44%,Quiet,15.8 °C,15.3 °C,0.0 mm/h,0.0 mm/h,2.4 m/s,2.1 m/s,
2024-05-06,57%,Busy,16.5 °C,16.8 °C,0.34 mm/h,0.14 mm/h,2.2 m/s,3.3 m/s,
2024-05-07,78%,Packed,17.4 °C,17.9 °C,0.0 mm/h,0.0 mm/h,3.0 m/s,4.4 m/s,
2024-05-08,73%,Busy,14.7 °C,13.7 °C,0.0 mm/h,0.0 mm/h,2.7 m/s,2.4 m/s,
2024-05-09,96%,Packed,18.1 °C,17.9 °C,0.0 mm/h,0.0 mm/h,1.5 m/s,2.2 m/s,
2024-05-10,97%,Packed,19.7 °C,19.8 °C,0.0 mm/h,0.0 mm/h,1.5 m/s,2.5 m/s,
2024-05-11,62%,Busy,21.3 °C,21.5 °C,0.0 mm/h,0.0 mm/h,3.4 m/s,4.3 m/s,
2024-05-12,28%,Quiet,23.9 °C,24.1 °C,0.0 mm/h,0.0 mm/h,4.0 m/s,5.0 m/s,
2024-05-13,54%,Busy,22.0 °C,21.9 °C,0.13 mm/h,0.02 mm/h,3.4 m/s,4.2 m/s,
2024-05-14,24%,Empty,25.8 °C,25.4 °C,0.0 mm/h,0.0 mm/h,4.9 m/s,6.1 m/s,
2024-05-15,16%,Empty,18.6 °C,16.9 °C,0.41 mm/h,0.77 mm/h,2.1 m/s,2.1 m/s,
2024-05-16,13%,Empty,16.8 °C,17.8 °C,0.73 mm/h,0.87 mm/h,1.5 m/s,3.3 m/s,
2024-05-17,47%,Quiet,16.9 °C,16.9 °C,0.93 mm/h,0.41 mm/h,3.2 m/s,4.0 m/s,
2024-05-18,36%,Quiet,20.3 °C,18.1 °C,0.04 mm/h,0.04 mm/h,2.2 m/s,2.8 m/s,
2024-05-19,51%,Busy,18.7 °C,17.6 °C,0.71 mm/h,0.38 mm/h,1.9 m/s,2.4 m/s,
2024-05-20,50%,Busy,17.4 °C,16.8 °C,0.56 mm/h,0.51 mm/h,2.3 m/s,2.9 m/s,
2024-05-21,77%,Packed,21.3 °C,19.7 °C,0.01 mm/h,0.35 mm/h,2.1 m/s,3.4 m/s,
2024-05-22,27%,Quiet,18.0 °C,16.7 °C,0.04 mm/h,0.0 mm/h,5.3 m/s,5.0 m/s,
2024-05-23,46%,Quiet,17.3 °C,17.6 °C,0.02 mm/h,0.03 mm/h,3.7 m/s,3.5 m/s,
2024-05-24,22%,Empty,15.7 °C,15.0 °C,1.57 mm/h,1.27 mm/h,1.6 m/s,2.2 m/s,
2024-05-25,58%,Busy,16.5 °C,16.2 °C,0.37 mm/h,0.39 mm/h,3.1 m/s,2.8 m/s,
2024-05-26,43%,Quiet,18.3 °C,18.1 °C,0.93 mm/h,0.81 mm/h,3.3 m/s,2.6 m/s,
2024-05-27,60%,Busy,16.5 °C,16.5 °C,0.28 mm/h,0.01 mm/h,2.5 m/s,2.9 m/s,
2024-05-28,65%,Busy,15.4 °C,16.4 °C,0.1 mm/h,0.04 mm/h,4.1 m/s,4.8 m/s,
2024-05-29,39%,Quiet,16.6 °C,17.2 °C,0.43 mm/h,0.24 mm/h,4.6 m/s,4.9 m/s,
2024-05-30,71%,Busy,16.0 °C,16.6 °C,0.22 mm/h,0.03 mm/h,2.9 m/s,5.0 m/s,
2024-05-31,71%,Busy,17.1 °C,17.0 °C,0.0 mm/h,0.06 mm/h,1.8 m/s,2.8 m/s,
2024-06-01,62%,Busy,18.3 °C,16.1 °C,0.21 mm/h,0.08 mm/h,4.0 m/s,4.4 m/s,
2024-06-02,73%,Busy,17.3 °C,16.3 °C,0.0 mm/h,0.0 mm/h,4.4 m/s,5.1 m/s,
2024-06-03,81%,Packed,16.2 °C,16.0 °C,0.0 mm/h,0.0 mm/h,2.0 m/s,2.2 m/s,
2024-06-04,27%,Quiet,19.1 °C,19.5 °C,0.03 mm/h,0.0 mm/h,3.6 m/s,4.5 m/s,
2024-06-05,48%,Quiet,15.3 °C,15.8 °C,0.0 mm/h,0.0 mm/h,3.9 m/s,5.4 m/s,
2024-06-06,41%,Quiet,15.6 °C,16.8 °C,0.0 mm/h,0.0 mm/h,3.2 m/s,3.5 m/s,
2024-06-07,73%,Busy,17.2 °C,18.6 °C,0.0 mm/h,0.0 mm/h,3.8 m/s,4.3 m/s,
2024-06-08,58%,Busy,16.4 °C,17.1 °C,0.0 mm/h,0.0 mm/h,4.5 m/s,4.7 m/s,
2024-06-09,64%,Busy,16.7 °C,16.6 °C,0.0 mm/h,0.0 mm/h,4.0 m/s,5.4 m/s,
2024-06-10,33%,Quiet,13.1 °C,12.7 °C,0.48 mm/h,0.77 mm/h,6.1 m/s,6.9 m/s,
2024-06-11,59%,Busy,13.9 °C,13.6 °C,0.18 mm/h,0.09 mm/h,4.5 m/s,4.7 m/s,
2024-06-12,58%,Busy,14.3 °C,13.8 °C,0.0 mm/h,0.0 mm/h,3.6 m/s,5.0 m/s,
2024-06-13,66%,Busy,17.6 °C,17.6 °C,0.0 mm/h,0.0 mm/h,4.3 m/s,4.3 m/s,
2024-06-14,78%,Packed,16.7 °C,16.1 °C,0.01 mm/h,0.14 mm/h,4.6 m/s,4.8 m/s,
2024-06-15,59%,Busy,15.3 °C,16.2 °C,0.11 mm/h,0.09 mm/h,6.2 m/s,7.6 m/s,
2024-06-16,21%,Empty,17.3 °C,16.6 °C,0.06 mm/h,0.22 mm/h,4.0 m/s,5.5 m/s,
2024-06-17,92%,Packed,19.2 °C,18.8 °C,0.0 mm/h,0.0 mm/h,3.2 m/s,3.4 m/s,
2024-06-18,45%,Quiet,18.3 °C,16.7 °C,1.56 mm/h,1.03 mm/h,2.3 m/s,3.0 m/s,
2024-06-19,70%,Busy,18.6 °C,19.0 °C,0.0 mm/h,0.0 mm/h,3.2 m/s,4.1 m/s,
2024-06-20,88%,Packed,18.7 °C,19.5 °C,0.11 mm/h,0.13 mm/h,3.5 m/s,3.9 m/s,
2024-06-21,76%,Packed,16.7 °C,16.9 °C,0.11 mm/h,0.02 mm/h,3.5 m/s,2.9 m/s,
2024-06-22,76%,Packed,18.1 °C,18.4 °C,0.0 mm/h,0.0 mm/h,3.3 m/s,3.5 m/s,
2024-06-23,63%,Busy,22.2 °C,22.4 °C,0.0 mm/h,0.0 mm/h,2.0 m/s,2.7 m/s,
2024-06-24,98%,Packed,23.3 °C,24.3 °C,0.0 mm/h,0.0 mm/h,0.8 m/s,1.5 m/s,
2024-06-25,75%,Packed,26.6 °C,26.8 °C,0.0 mm/h,0.0 mm/h,2.6 m/s,3.2 m/s,
2024-06-26,69%,Busy,27.9 °C,28.2 °C,0.0 mm/h,0.0 mm/h,2.1 m/s,2.9 m/s,
2024-06-27,76%,Packed,27.0 °C,27.7 °C,0.0 mm/h,0.0 mm/h,3.8 m/s,3.6 m/s,
2024-06-28,47%,Quiet,20.1 °C,20.0 °C,0.0 mm/h,0.0 mm/h,3.6 m/s,4.1 m/s,
2024-06-29,68%,Busy,23.4 °C,22.5 °C,0.0 mm/h,0.01 mm/h,1.4 m/s,2.2 m/s,
2024-06-30,50%,Busy,18.9 °C,19.7 °C,0.03 mm/h,0.04 mm/h,3.9 m/s,4.2 m/s,
2024-07-01,78%,Packed,18.7 °C,18.3 °C,0.0 mm/h,0.0 mm/h,4.1 m/s,4.4 m/s,
2024-07-02,47%,Quiet,16.5 °C,16.4 °C,0.01 mm/h,0.01 mm/h,3.7 m/s,3.9 m/s,
2024-07-03,28%,Quiet,14.8 °C,14.8 °C,0.33 mm/h,0.51 mm/h,3.3 m/s,2.9 m/s,
2024-07-04,60%,Busy,17.0 °C,17.8 °C,0.0 mm/h,0.0 mm/h,4.9 m/s,5.9 m/s,
2024-07-05,24%,Empty,15.2 °C,16.9 °C,0.4 mm/h,0.65 mm/h,3.4 m/s,4.8 m/s,
2024-07-06,44%,Quiet,17.3 °C,17.3 °C,0.18 mm/h,0.0 mm/h,6.2 m/s,7.3 m/s,
2024-07-07,38%,Quiet,17.0 °C,16.6 °C,0.08 mm/h,0.05 mm/h,3.7 m/s,3.4 m/s,
2024-07-08,55%,Busy,19.9 °C,19.6 °C,0.0 mm/h,0.02 mm/h,2.5 m/s,2.2 m/s,
2024-07-09,46%,Quiet,24.0 °C,24.4 °C,0.55 mm/h,1.05 mm/h,1.9 m/s,3.3 m/s,
2024-07-10,40%,Quiet,22.6 °C,21.8 °C,0.0 mm/h,0.2 mm/h,4.0 m/s,4.3 m/s,
2024-07-11,50%,Busy,20.2 °C,20.0 °C,0.0 mm/h,0.0 mm/h,2.8 m/s,3.4 m/s,
2024-07-12,4%,Empty,14.3 °C,14.6 °C,0.25 mm/h,1.53 mm/h,3.2 m/s,4.8 m/s,
2024-07-13,22%,Empty,15.2 °C,15.3 °C,0.14 mm/h,0.15 mm/h,4.1 m/s,4.0 m/s,
2024-07-14,59%,Busy,19.0 °C,19.9 °C,0.0 mm/h,0.0 mm/h,3.6 m/s,3.8 m/s,
2024-07-15,52%,Busy,23.1 °C,23.0 °C,0.15 mm/h,0.04 mm/h,2.2 m/s,2.8 m/s,
2024-07-16,20%,Empty,17.3 °C,18.9 °C,0.42 mm/h,0.26 mm/h,4.6 m/s,5.3 m/s,
2024-07-17,58%,Busy,21.2 °C,21.3 °C,0.0 mm/h,0.0 mm/h,3.2 m/s,3.5 m/s,
2024-07-18,31%,Quiet,23.9 °C,25.1 °C,0.0 mm/h,0.0 mm/h,1.1 m/s,1.7 m/s,
2024-07-19,8%,Empty,27.5 °C,27.5 °C,0.0 mm/h,0.0 mm/h,1.4 m/s,2.2 m/s,
2024-07-20,26%,Quiet,29.3 °C,27.6 °C,0.02 mm/h,0.05 mm/h,2.1 m/s,2.9 m/s,
2024-07-21,17%,Empty,22.6 °C,21.2 °C,0.03 mm/h,0.01 mm/h,3.6 m/s,3.0 m/s,
2024-07-22,64%,Busy,22.0 °C,22.0 °C,0.0 mm/h,0.0 mm/h,3.4 m/s,3.4 m/s,
2024-07-23,27%,Quiet,19.5 °C,20.0 °C,0.96 mm/h,0.3 mm/h,4.1 m/s,4.1 m/s,
2024-07-24,72%,Busy,20.5 °C,20.4 °C,0.0 mm/h,0.0 mm/h,1.9 m/s,2.4 m/s,
2024-07-25,49%,Quiet,20.4 °C,22.2 °C,0.25 mm/h,0.18 mm/h,2.4 m/s,3.2 m/s,
2024-07-26,28%,Quiet,20.0 °C,21.0 °C,0.02 mm/h,0.0 mm/h,2.6 m/s,3.7 m/s,
2024-07-27,48%,Quiet,20.2 °C,21.0 °C,0.0 mm/h,0.0 mm/h,1.6 m/s,2.4 m/s,
2024-07-28,51%,Busy,21.9 °C,22.2 °C,0.0 mm/h,0.0 mm/h,2.0 m/s,2.5 m/s,
2024-07-29,53%,Busy,25.2 °C,24.9 °C,0.0 mm/h,0.0 mm/h,2.3 m/s,3.0 m/s,
2024-07-30,17%,Empty,27.9 °C,28.2 °C,0.0 mm/h,0.0 mm/h,1.6 m/s,2.0 m/s,
2024-07-31,35%,Quiet,26.0 °C,24.1 °C,0.0 mm/h,0.06 mm/h,2.8 m/s,2.4 m/s,
