timestamp,attraction_name,status,queue_type,wait_time
2025-11-13 15:29:49,De Vliegende Hollander,OPERATING,SINGLE_RIDER,0
2025-11-13 15:29:49,Kleuterhof,OPERATING,STANDBY,0
2025-11-13 15:29:49,Nest!,OPERATING,STANDBY,0
2025-11-13 15:29:49,Archipel,OPERATING,STANDBY,0
2025-11-13 15:29:49,Sirocco,REFURBISHMENT,STANDBY,N/A
2025-11-13 15:29:49,Stoomtrein - Marerijk,OPERATING,STANDBY,25
2025-11-13 15:29:49,Volk van Laaf,OPERATING,STANDBY,0
2025-11-13 15:29:49,Fairytale Forest,OPERATING,STANDBY,0
2025-11-13 15:29:49,Stoomcarrousel,OPERATING,STANDBY,0
2025-11-13 15:29:49,Efteling Museum,OPERATING,STANDBY,0
2025-11-13 15:29:49,Halve Maen,OPERATING,STANDBY,5
2025-11-13 15:29:49,Stoomtrein - Oost,OPERATING,STANDBY,25
2025-11-13 15:29:49,Kinderspoor,OPERATING,STANDBY,5
2025-11-13 15:29:49,Diorama,OPERATING,STANDBY,0
2025-11-13 15:29:49,Fabula,OPERATING,STANDBY,10
2025-11-13 15:29:49,Monorail,CLOSED,STANDBY,N/A
2025-11-13 15:29:49,Kindervreugd,CLOSED,STANDBY,N/A
2025-11-13 15:29:49,Max & Moritz,OPERATING,STANDBY,5
2025-11-13 15:29:49,Max & Moritz,OPERATING,SINGLE_RIDER,0
2025-11-13 15:29:49,Anton Pieckplein,OPERATING,STANDBY,0
2025-11-13 15:29:49,Gondoletta,OPERATING,STANDBY,5
2025-11-13 15:29:49,De Oude Tufferbaan,OPERATING,STANDBY,5
2025-11-13 15:29:49,Python,OPERATING,STANDBY,5
2025-11-13 15:29:49,Python,OPERATING,SINGLE_RIDER,0
2025-11-13 15:29:49,Piraña,OPERATING,STANDBY,5
2025-11-13 15:29:49,Joris en de Draak,OPERATING,STANDBY,15
2025-11-13 15:29:49,Joris en de Draak,OPERATING,SINGLE_RIDER,0
2025-11-13 15:29:49,Carnaval Festival,OPERATING,STANDBY,5
2025-11-13 15:29:49,Vogel Rok,REFURBISHMENT,STANDBY,N/A
2025-11-13 15:29:49,Baron 1898,OPERATING,STANDBY,10
2025-11-13 15:29:49,Baron 1898,OPERATING,SINGLE_RIDER,15
2025-11-13 15:29:49,Pagode,OPERATING,STANDBY,5
2025-11-13 15:29:49,Symbolica,OPERATING,STANDBY,25
2025-11-13 15:29:49,Symbolica,OPERATING,SINGLE_RIDER,0
2025-11-13 15:29:49,Danse Macabre,OPERATING,STANDBY,13
2025-11-13 15:29:49,Danse Macabre,OPERATING,SINGLE_RIDER,0
2025-11-13 15:34:49,Droomvlucht,OPERATING,STANDBY,20
2025-11-13 15:34:49,Fata Morgana,OPERATING,STANDBY,5
2025-11-13 15:34:49,Villa Volta,OPERATING,STANDBY,5
2025-11-13 15:34:49,De Vliegende Hollander,OPERATING,STANDBY,5
2025-11-13 15:34:49,De Vliegende Hollander,OPERATING,SINGLE_RIDER,0
2025-11-13 15:34:49,Kleuterhof,OPERATING,STANDBY,0
2025-11-13 15:34:49,Nest!,OPERATING,STANDBY,0
2025-11-13 15:34:49,Archipel,OPERATING,STANDBY,0
2025-11-13 15:34:49,Sirocco,REFURBISHMENT,STANDBY,N/A
2025-11-13 15:34:49,Stoomtrein - Marerijk,OPERATING,STANDBY,25
2025-11-13 15:34:49,Volk van Laaf,OPERATING,STANDBY,0
2025-11-13 15:34:49,Fairytale Forest,OPERATING,STANDBY,0
2025-11-13 15:34:49,Stoomcarrousel,OPERATING,STANDBY,0
2025-11-13 15:34:49,Efteling Museum,OPERATING,STANDBY,0
2025-11-13 15:34:49,Halve Maen,OPERATING,STANDBY,5
2025-11-13 15:34:49,Stoomtrein - Oost,OPERATING,STANDBY,25
2025-11-13 15:34:49,Kinderspoor,OPERATING,STANDBY,5
2025-11-13 15:34:49,Diorama,OPERATING,STANDBY,0
2025-11-13 15:34:49,Fabula,OPERATING,STANDBY,10
2025-11-13 15:34:49,Monorail,CLOSED,STANDBY,N/A
2025-11-13 15:34:49,Kindervreugd,CLOSED,STANDBY,N/A
2025-11-13 15:34:49,Max & Moritz,OPERATING,STANDBY,5
2025-11-13 15:34:49,Max & Moritz,OPERATING,SINGLE_RIDER,0
2025-11-13 15:34:49,Anton Pieckplein,OPERATING,STANDBY,0
2025-11-13 15:34:49,Gondoletta,OPERATING,STANDBY,5
2025-11-13 15:34:49,De Oude Tufferbaan,OPERATING,STANDBY,5
2025-11-13 15:34:49,Python,OPERATING,STANDBY,5
2025-11-13 15:34:49,Python,OPERATING,SINGLE_RIDER,0
2025-11-13 15:34:49,Piraña,OPERATING,STANDBY,5
2025-11-13 15:34:49,Joris en de Draak,OPERATING,STANDBY,15
2025-11-13 15:34:49,Joris en de Draak,OPERATING,SINGLE_RIDER,0
2025-11-13 15:34:49,Carnaval Festival,OPERATING,STANDBY,5
2025-11-13 15:34:49,Vogel Rok,REFURBISHMENT,STANDBY,N/A
2025-11-13 15:34:49,Baron 1898,OPERATING,STANDBY,10
2025-11-13 15:34:49,Baron 1898,OPERATING,SINGLE_RIDER,15
2025-11-13 15:34:49,Pagode,OPERATING,STANDBY,5
2025-11-13 15:34:49,Symbolica,OPERATING,STANDBY,25
2025-11-13 15:34:49,Symbolica,OPERATING,SINGLE_RIDER,0
2025-11-13 15:34:49,Danse Macabre,OPERATING,STANDBY,13
2025-11-13 15:34:49,Danse Macabre,OPERATING,SINGLE_RIDER,0
2025-11-13 15:39:49,Droomvlucht,OPERATING,STANDBY,20
2025-11-13 15:39:49,Fata Morgana,OPERATING,STANDBY,5
2025-11-13 15:39:49,Villa Volta,OPERATING,STANDBY,5
2025-11-13 15:39:49,De Vliegende Hollander,OPERATING,STANDBY,5
2025-11-13 15:39:49,De Vliegende Hollander,OPERATING,SINGLE_RIDER,0
2025-11-13 15:39:49,Kleuterhof,OPERATING,STANDBY,0
2025-11-13 15:39:49,Nest!,OPERATING,STANDBY,0
2025-11-13 15:39:49,Archipel,OPERATING,STANDBY,0
2025-11-13 15:39:49,Sirocco,REFURBISHMENT,STANDBY,N/A
2025-11-13 15:39:49,Stoomtrein - Marerijk,OPERATING,STANDBY,25
2025-11-13 15:39:49,Volk van Laaf,OPERATING,STANDBY,0
2025-11-13 15:39:49,Fairytale Forest,OPERATING,STANDBY,0
2025-11-13 15:39:49,Stoomcarrousel,OPERATING,STANDBY,0
2025-11-13 15:39:49,Efteling Museum,OPERATING,STANDBY,0
2025-11-13 15:39:49,Halve Maen,OPERATING,STANDBY,5
2025-11-13 15:39:49,Stoomtrein - Oost,OPERATING,STANDBY,25
2025-11-13 15:39:49,Kinderspoor,OPERATING,STANDBY,5
2025-11-13 15:39:49,Diorama,OPERATING,STANDBY,0
2025-11-13 15:39:49,Fabula,OPERATING,STANDBY,10
2025-11-13 15:39:49,Monorail,CLOSED,STANDBY,N/A
2025-11-13 15:39:49,Kindervreugd,CLOSED,STANDBY,N/A
2025-11-13 15:39:49,Max & Moritz,OPERATING,STANDBY,5
2025-11-13 15:39:49,Max & Moritz,OPERATING,SINGLE_RIDER,0
2025-11-13 15:39:49,Anton Pieckplein,OPERATING,STANDBY,0
2025-11-13 15:39:49,Gondoletta,OPERATING,STANDBY,5
2025-11-13 15:39:49,De Oude Tufferbaan,OPERATING,STANDBY,5
2025-11-13 15:39:49,Python,OPERATING,STANDBY,5
2025-11-13 15:39:49,Python,OPERATING,SINGLE_RIDER,0
2025-11-13 15:39:49,Piraña,OPERATING,STANDBY,5
2025-11-13 15:39:49,Joris en de Draak,OPERATING,STANDBY,15
2025-11-13 15:39:49,Joris en de Draak,OPERATING,SINGLE_RIDER,0
2025-11-13 15:39:49,Carnaval Festival,OPERATING,STANDBY,5
2025-11-13 15:39:49,Vogel Rok,REFURBISHMENT,STANDBY,N/A
2025-11-13 15:39:49,Baron 1898,OPERATING,STANDBY,10
2025-11-13 15:39:49,Baron 1898,OPERATING,SINGLE_RIDER,15
2025-11-13 15:39:49,Pagode,OPERATING,STANDBY,5
2025-11-13 15:39:49,Symbolica,OPERATING,STANDBY,25
2025-11-13 15:39:49,Symbolica,OPERATING,SINGLE_RIDER,0
2025-11-13 15:39:49,Danse Macabre,OPERATING,STANDBY,13
2025-11-13 15:39:49,Danse Macabre,OPERATING,SINGLE_RIDER,0
2025-11-13 15:44:50,Droomvlucht,OPERATING,STANDBY,20
2025-11-13 15:44:50,Fata Morgana,OPERATING,STANDBY,5
2025-11-13 15:44:50,Villa Volta,OPERATING,STANDBY,5
2025-11-13 15:44:50,De Vliegende Hollander,OPERATING,STANDBY,5
2025-11-13 15:44:50,De Vliegende Hollander,OPERATING,SINGLE_RIDER,0
2025-11-13 15:44:50,Kleuterhof,OPERATING,STANDBY,0
2025-11-13 15:44:50,Nest!,OPERATING,STANDBY,0
2025-11-13 15:44:50,Archipel,OPERATING,STANDBY,0
2025-11-13 15:44:50,Sirocco,REFURBISHMENT,STANDBY,N/A
2025-11-13 15:44:50,Stoomtrein - Marerijk,OPERATING,STANDBY,25
2025-11-13 15:44:50,Volk van Laaf,OPERATING,STANDBY,0
2025-11-13 15:44:50,Fairytale Forest,OPERATING,STANDBY,0
2025-11-13 15:44:50,Stoomcarrousel,OPERATING,STANDBY,0
2025-11-13 15:44:50,Efteling Museum,OPERATING,STANDBY,0
2025-11-13 15:44:50,Halve Maen,OPERATING,STANDBY,5
2025-11-13 15:44:50,Stoomtrein - Oost,OPERATING,STANDBY,25
2025-11-13 15:44:50,Kinderspoor,OPERATING,STANDBY,5
2025-11-13 15:44:50,Diorama,OPERATING,STANDBY,0
2025-11-13 15:44:50,Fabula,OPERATING,STANDBY,10
2025-11-13 15:44:50,Monorail,CLOSED,STANDBY,N/A
2025-11-13 15:44:50,Kindervreugd,CLOSED,STANDBY,N/A
2025-11-13 15:44:50,Max & Moritz,OPERATING,STANDBY,5
2025-11-13 15:44:50,Max & Moritz,OPERATING,SINGLE_RIDER,0
2025-11-13 15:44:50,Anton Pieckplein,OPERATING,STANDBY,0
