timestamp,attraction_name,status,queue_type,wait_time
2025-11-13T16:24:48Z,Halve Maen,OPERATING,STANDBY,5
2025-11-13T16:24:48Z,Stoomtrein Ruigrijk,OPERATING,STANDBY,25
2025-11-13T16:24:48Z,Kinderspoor,OPERATING,STANDBY,5
2025-11-13T16:24:48Z,Fabula,OPERATING,STANDBY,10
2025-11-13T16:24:48Z,Monorail,CLOSED,STANDBY,NA
2025-11-13T16:24:48Z,Max & Moritz,OPERATING,STANDBY,5
2025-11-13T16:24:48Z,Max & Moritz Single-rider,OPERATING,SINGLE_RIDER,0
2025-11-13T16:24:48Z,Gondoletta,OPERATING,STANDBY,5
2025-11-13T16:24:48Z,De Oude Tufferbaan,DOWN,STANDBY,0
2025-11-13T16:24:48Z,Python,OPERATING,STANDBY,5
2025-11-13T16:24:48Z,Python Single-rider,OPERATING,SINGLE_RIDER,0
2025-11-13T16:24:48Z,Piraña,OPERATING,STANDBY,5
2025-11-13T16:24:48Z,Joris en de Draak,OPERATING,STANDBY,15
2025-11-13T16:24:48Z,Joris en de Draak Single-rider,OPERATING,SINGLE_RIDER,0
2025-11-13T16:24:48Z,Carnaval Festival,OPERATING,STANDBY,5
2025-11-13T16:24:48Z,Vogel Rok,REFURBISHMENT,STANDBY,NA
2025-11-13T16:24:48Z,Baron 1898,OPERATING,STANDBY,10
2025-11-13T16:24:48Z,Baron 1898 Single-rider,OPERATING,SINGLE_RIDER,15
2025-11-13T16:24:48Z,Pagode,OPERATING,STANDBY,5
2025-11-13T16:24:48Z,Symbolica,OPERATING,STANDBY,20
2025-11-13T16:24:48Z,Symbolica Single-rider,OPERATING,SINGLE_RIDER,0
2025-11-13T16:24:48Z,Danse Macabre,OPERATING,STANDBY,20
2025-11-13T16:24:48Z,Danse Macabre Single-rider,OPERATING,SINGLE_RIDER,0
2025-11-13T16:29:49Z,Droomvlucht,OPERATING,STANDBY,20
2025-11-13T16:29:49Z,Fata Morgana,OPERATING,STANDBY,5
2025-11-13T16:29:49Z,Villa Volta,OPERATING,STANDBY,5
2025-11-13T16:29:49Z,De Vliegende Hollander,OPERATING,STANDBY,5
2025-11-13T16:29:49Z,De Vliegende Hollander Single-rider,OPERATING,SINGLE_RIDER,0
2025-11-13T16:29:49Z,Sirocco,REFURBISHMENT,STANDBY,NA
2025-11-13T16:29:49Z,Stoomtrein Marerijk,OPERATING,STANDBY,25
